"Cortex1"	"Cortex2"	"Cortex3"	"PD1"	"PD2"	"PD3"	"PD4"	"TRK1"	"TRK2"	"TRK3"	"MM.turquoise"	"MM.blue"	"MM.yellow"	"MM.black"	"MM.green"	"group"
"45"	643118.63	621074.31	643954.13	417533.43	425704.44	389545.39	461890.56	369947.96	388438.61	396237.04	0.989754072892914	-0.940868481689355	-0.654760928310643	-0.257391181184366	-0.843125383672162	"turquoise"
"46"	10445633.76	10446476.93	8877627.91	3997093.5	4580481.18	4067742.51	4457348.27	4201113.33	3726274.59	4274125.33	0.968230904580742	-0.905461846473771	-0.554852217740279	-0.348039149721563	-0.873301286278938	"turquoise"
"47"	2260878.41	2591757.09	1708696.24	752946.74	1131362.39	835434.75	770118.73	753892.09	620504.31	839081.89	0.934491759216782	-0.879658030366399	-0.574296784645979	-0.265135412830444	-0.799157501289464	"turquoise"
"48"	7224531.67	7212015.41	6658252.35	4477099.17	4565098	4809074.91	4837247.78	4554564.44	4151795.07	4531946.72	0.974558948289711	-0.921288396532525	-0.600356365266749	-0.29393011817249	-0.840274892951635	"turquoise"
"49"	1019400.05	1028212.31	997470.24	769042.93	789697.86	757312.42	768360.29	664149.31	658677.55	700904.24	0.99442936887591	-0.959396191543606	-0.755799262592899	-0.0916420234567066	-0.737806166784554	"turquoise"
"50"	2932723.9	2873974.65	2826378.67	2022336.83	1785671.85	1891852.47	2273523.7	1898708.98	1658348.33	1970019.21	0.962013177150126	-0.941999819893801	-0.638535883626637	-0.270403360074026	-0.822431312423953	"turquoise"
"51"	248891.43	290682.72	259887.57	170537.77	168439.2	163158.87	171750.44	144987.32	136267.61	163726.04	0.974999763154416	-0.944157677628392	-0.664935100006027	-0.207544615415556	-0.797355704639559	"turquoise"
"52"	116763.44	151593.81	118772.81	88836.45	73459.76	88189.71	69456.75	62458.92	55925.8	73072.38	0.912775418912255	-0.891240570879276	-0.676922441714801	-0.0884772971556481	-0.673843964649758	"turquoise"
"53"	4973290.36	4922699.95	4986886.45	3873763.7	3337916.48	3205695.69	3782551.76	2639187.26	2676911.55	3272730.01	0.969860462364772	-0.976168506507708	-0.795421470745737	-0.0533894982135533	-0.705010647730345	"turquoise"
"54"	808386.33	994254.06	848834.91	829746.58	699686.92	535109.48	574832.85	479924.67	446734.69	604944.2	0.836754776219697	-0.852891211641618	-0.739030601770506	0.0776381706892494	-0.533454818965164	"turquoise"
"55"	1163623.59	1193429.65	1249830.89	673347.83	645754.22	716004.67	773371.39	526443.04	514453.33	738416.31	0.979939052983165	-0.975364474397592	-0.69755107259784	-0.204148915049823	-0.799616925694788	"turquoise"
"56"	3246982.14	3359910.9	3257706.31	1665653.06	1774414.04	1728167.53	1753355.89	1270559.4	1335602.71	1528650.7	0.995888623719848	-0.951432810973186	-0.683778145107423	-0.201504981240086	-0.807426524634076	"turquoise"
"57"	922619.97	895611.19	859078.25	571718.02	612195.6	581219.49	535415.78	377428.48	389365.54	478519.33	0.981124256714546	-0.960829063269623	-0.798003470629917	-0.0147773644131325	-0.680330565184747	"turquoise"
"58"	3193599.52	3082944.5	3023561.99	1798677.74	1720060.67	1632153.33	1754953.65	1169621.36	1115163.97	1465013.74	0.996695341946768	-0.970827114160335	-0.745107776427475	-0.123289338453446	-0.758441150512339	"turquoise"
"59"	169844.68	165286.17	163953.89	128750.14	120383.29	114570.99	126424	102378.38	93187.96	116721.43	0.981165255548064	-0.983668439674619	-0.775472002181435	-0.081273450476461	-0.721838924777408	"turquoise"
"60"	311645.21	322803.56	307082.25	244585.17	248953.86	234035.15	242719.74	208342.23	209357.91	227539.86	0.990971519216292	-0.96692306248451	-0.758343347234009	-0.0942808475269633	-0.740803154736295	"turquoise"
"61"	211627.81	216012.1	211359.39	130118.5	129218.72	123142.71	134798.72	106673.08	102945.09	119586.54	0.997792817997199	-0.961049920552651	-0.690495516649978	-0.202667356755894	-0.809250345806635	"turquoise"
"62"	355380.23	337646.73	378919.21	165378.57	157220.69	151408.03	193054.68	148451.73	143555.92	161247.43	0.978745270230671	-0.925457419726664	-0.592515844695473	-0.326526622194137	-0.872844038174906	"turquoise"
